name,author,description,average_rating,number_of_reviews,top_of,rated_5,rated_4,rated_3,rated_2,rated_1,top_voted_genre,top_voted_votes,2nd_voted_genre,2nd_voted_votes,3rd_voted_genre,3rd_voted_votes
And Now She's Gone,Rachel Howzell Hall,"Isabel Lincoln is gone.But is she missing?It's up to Grayson Sykes to find her. Although she is reluctant to track down a woman who may not want to be found, Gray's search for Isabel Lincoln becomes more complicated and dangerous with every new revelation about the woman's secrets and the truth she's hidden from her friends and family.Featuring two complicated women in a dangerous cat and mouse game, And Now She's Gone explores the nature of secrets -- and how violence and fear can lead you to abandon everything in order to survive.",3.46,3062,best-mystery-thriller-books-2020,432,1090,1098,348,94,Mystery,176,Thriller,110,Fiction,88
Confessions on the 7:45,Lisa Unger,"From master of suspense Lisa Unger comes a riveting thriller about a chance encounter that unravels a stunning web of lies and deceit.Everyone has a secret… Now she knows yours.Selena Murphy is commuting home from her job in the city when the train stalls out on the tracks. She strikes up a conversation with a beautiful stranger in the next seat, and their connection is fast and easy. The woman introduces herself as Martha and confesses that she’s been stuck in an affair with her boss. Selena, in turn, confesses that she suspects her husband is sleeping with the nanny. When the train arrives at Selena’s station, the two women part ways, presumably never to meet again.But days later, Selena’s nanny disappears.Soon Selena finds her once-perfect life upended. As she is pulled into the mystery of the missing nanny, and as the fractures in her marriage grow deeper, Selena begins to wonder, who was Martha really? But she is hardly prepared for what she’ll discover.Expertly plotted and reminiscent of the timeless classic Strangers on a Train, Confessions on the 7:45 is a gripping thriller about the delicate facades we create around our lives",3.93,22905,best-mystery-thriller-books-2020,5559,11235,5170,769,172,Thriller,283,Mystery,248,Fiction,181
First Girl Gone,L.T. Vargus,"Down the beach, she can just make out the rusting hulk of the Ferris wheel through the dawn mist. The hairs prickle on her neck as she drags her focus back to the chestnut hair fanned out in the shallow water at her feet. To the grains of sand decorating the beautiful girl’s white cheeks like freckles.Private Detective Charlie Winters never thought she’d find herself back on Salem Island, but she’s forced home re-open the wound that never healed: her sister was abducted from the small town when they were teenagers.For Charlie, her sister’s voice in her head—pushing her to risk everything to seek justice for the innocent—is a painful and constant reminder of what she lost. And never has that voice been louder than when a family friend comes to Charlie begging for help to find her missing daughter, Kara.Searching Kara’s messy, poster-covered bedroom, Charlie finds more questions than answers. Did Kara run away, or was she snatched? She’s clearly been keeping secrets from her family—but don’t all teenagers?A little black matchbook hidden in a jewellery box is Charlie’s only lead, but the seedy nightclub it comes from proves to be nothing but a dangerous dead end. Until Charlie is approached by a second distraught mother whose daughter has also vanished.Forced at every turn to relive the trauma she ran away from, Charlie’s blood runs cold when a girl’s body is discovered in the exact spot on the water’s edge where the last trace of her sister was found. It’s clear someone is taunting Charlie, but with other innocent girls’ lives at risk, she has no choice but to take the bait…",4.09,996,best-mystery-thriller-books-2020,405,352,181,41,17,Mystery,35,Thriller,20,Thriller,14
The Vanishing Half,Brit Bennett,"The Vignes twin sisters will always be identical. But after growing up together in a small, southern black community and running away at age sixteen, it's not just the shape of their daily lives that is different as adults, it's everything: their families, their communities, their racial identities. Many years later, one sister lives with her black daughter in the same southern town she once tried to escape. The other passes for white, and her white husband knows nothing of her past. Still, even separated by so many miles and just as many lies, the fates of the twins remain intertwined. What will happen to the next generation, when their own daughters' storylines intersect?Weaving together multiple strands and generations of this family, from the Deep South to California, from the 1950s to the 1990s, Brit Bennett produces a story that is at once a riveting, emotional family story and a brilliant exploration of the American history of passing. Looking well beyond issues of race, The Vanishing Half considers the lasting influence of the past as it shapes a person's decisions, desires, and expectations, and explores some of the multiple reasons and realms in which people sometimes feel pulled to live as something other than their origins.",4.24,373908,best-historical-fiction-books-2020,156680,160072,48755,6613,1788,Fiction,4887,Historical,2824,Contemporary,841
The Jane Austen Society,Natalie Jenner,"2020 Goodreads Choice Award Nominee for Historical Fiction and for Debut Novel!Just after the Second World War, in the small English village of Chawton, an unusual but like-minded group of people band together to attempt something remarkable.One hundred and fifty years ago, Chawton was the final home of Jane Austen, one of England's finest novelists. Now it's home to a few distant relatives and their diminishing estate. With the last bit of Austen's legacy threatened, a group of disparate individuals come together to preserve both Jane Austen's home and her legacy. These people—a laborer, a young widow, the local doctor, and a movie star, among others—could not be more different and yet they are united in their love for the works and words of Austen. As each of them endures their own quiet struggle with loss and trauma, some from the recent war, others from more distant tragedies, they rally together to create the Jane Austen Society.",3.76,28441,best-historical-fiction-books-2020,5478,12736,8331,1575,321,Historical,1420,Fiction,717,Historical,250
The Book of Longings,Sue Monk Kidd,"“I am Ana. I was the wife of Jesus.”
Raised in a wealthy family in Sepphoris with ties to the ruler of Galilee, Ana is rebellious and ambitious, a relentless seeker with a brilliant, curious mind and a daring spirit. She yearns for a pursuit worthy of her life, but finds no outlet for her considerable talents. Defying the expectations placed on women, she engages in furtive scholarly pursuits and writes secret narratives about neglected and silenced women. When she meets the eighteen-year-old Jesus, each is drawn to and enriched by the other’s spiritual and philosophical ideas. He becomes a floodgate for her intellect, but also the awakener of her heart.Their marriage unfolds with love and conflict, humor and pathos in Nazareth, where Ana makes a home with Jesus, his brothers, James and Simon, and their mother, Mary. Here, Ana’s pent-up longings intensify amid the turbulent resistance to the Roman occupation of Israel, partially led by her charismatic adopted brother, Judas. She is sustained by her indomitable aunt Yaltha, who is searching for her long-lost daughter, as well as by other women, including her friend Tabitha, who is sold into slavery after she was raped, and Phasaelis, the shrewd wife of Herod Antipas. Ana’s impetuous streak occasionally invites danger. When one such foray forces her to flee Nazareth for her safety shortly before Jesus’s public ministry begins, she makes her way with Yaltha to Alexandria, where she eventually finds refuge and purpose in unexpected surroundings.Grounded in meticulous historical research and written with a reverential approach to Jesus’s life that focuses on his humanity, The Book of Longings is an inspiring account of one woman’s bold struggle to realize the passion and potential inside her, while living in a time, place, and culture devised to silence her.",4.24,71780,best-historical-fiction-books-2020,32912,26578,9535,1970,785,Historical,1601,Fiction,959,Historical,228
The Book of Lost Names,Kristin Harmel,"Eva Traube Abrams, a semi-retired librarian in Florida, is shelving books one morning when her eyes lock on a photograph in a magazine lying open nearby. She freezes; it’s an image of a book she hasn’t seen in sixty-five years—a book she recognizes as The Book of Lost Names. The accompanying article discusses the looting of libraries by the Nazis across Europe during World War II—an experience Eva remembers well—and the search to reunite people with the texts taken from them so long ago. The book in the photograph, an eighteenth-century religious text thought to have been taken from France in the waning days of the war, is one of the most fascinating cases. Now housed in Berlin’s Zentral- und Landesbibliothek library, it appears to contain some sort of code, but researchers don’t know where it came from—or what the code means. Only Eva holds the answer—but will she have the strength to revisit old memories and help reunite those lost during the war? As a graduate student in 1942, Eva was forced to flee Paris after the arrest of her father, a Polish Jew. Finding refuge in a small mountain town in the Free Zone, she begins forging identity documents for Jewish children fleeing to neutral Switzerland. But erasing people comes with a price, and along with a mysterious, handsome forger named Rémy, Eva decides she must find a way to preserve the real names of the children who are too young to remember who they really are. The records they keep in The Book of Lost Names will become even more vital when the resistance cell they work for is betrayed and Rémy disappears. An engaging and evocative novel reminiscent of The Lost Girls of Paris and The Alice Network, The Book of Lost Names is a testament to the resilience of the human spirit and the power of bravery and love in the face of evil.",4.36,49151,best-historical-fiction-books-2020,25101,18210,4690,818,332,Historical,1510,Fiction,470,Historical,199
The Henna Artist,Alka Joshi,"Vivid and compelling in its portrait of one woman’s struggle for fulfillment in a society pivoting between the traditional and the modern, The Henna Artist opens a door into a world that is at once lush and fascinating, stark and cruel.Escaping from an abusive marriage, seventeen-year-old Lakshmi makes her way alone to the vibrant 1950s pink city of Jaipur. There she becomes the most highly requested henna artist—and confidante—to the wealthy women of the upper class. But trusted with the secrets of the wealthy, she can never reveal her own…Known for her original designs and sage advice, Lakshmi must tread carefully to avoid the jealous gossips who could ruin her reputation and her livelihood. As she pursues her dream of an independent life, she is startled one day when she is confronted by her husband, who has tracked her down these many years later with a high-spirited young girl in tow—a sister Lakshmi never knew she had. Suddenly the caution that she has carefully cultivated as protection is threatened. Still she perseveres, applying her talents and lifting up those that surround her as she does.",4.22,78090,best-historical-fiction-books-2020,30190,36623,9940,1080,257,Historical,1377,Fiction,873,Audiobook,280
The Evening and the Morning,Ken Follett,"It is 997 CE, the end of the Dark Ages. England is facing attacks from the Welsh in the west and the Vikings in the east. Those in power bend justice according to their will, regardless of ordinary people and often in conflict with the king. Without a clear rule of law, chaos reigns.In these turbulent times, three characters find their lives intertwined. A young boatbuilder's life is turned upside down when the only home he's ever known is raided by Vikings, forcing him and his family to move and start their lives anew in a small hamlet where he does not fit in. . . . A Norman noblewoman marries for love, following her husband across the sea to a new land, but the customs of her husband's homeland are shockingly different, and as she begins to realize that everyone around her is engaged in a constant, brutal battle for power, it becomes clear that a single misstep could be catastrophic. . . . A monk dreams of transforming his humble abbey into a center of learning that will be admired throughout Europe. And each in turn comes into dangerous conflict with a clever and ruthless bishop who will do anything to increase his wealth and power.",4.39,51348,best-historical-fiction-books-2020,28350,16595,5062,925,416,Historical,1100,Fiction,451,Historical,148
A Long Petal of the Sea,Isabel Allende,"From the New York Times bestselling author of The House of the Spirits comes an epic novel spanning decades and crossing continents, following two young people as they flee the aftermath of the Spanish Civil War in search of a new place to call home.In the late 1930s, civil war gripped Spain. When General Franco and his Fascists succeed in overthrowing the government, hundreds of thousands are forced to flee in a treacherous journey over the mountains to the French border. Among them is Roser, a pregnant young widow, who finds her life irreversibly intertwined with that of Victor Dalmau, an army doctor and the brother of her deceased love. In order to survive, the two must unite in a marriage neither of them wants, and together are sponsored by poet Pablo Neruda to embark on the SS Winnipeg along with 2,200 other refugees in search of a new life. As unlikely partners, they embrace exile and emigrate to Chile as the rest of Europe erupts in World War.Starting over on a new continent, their trials are just beginning. Over the course of their lives, they will face test after test. But they will also find joy as they wait patiently for a day when they are exiles no more, and will find friends in the most unlikely of places. Through it all, it is that hope of being reunited with their home that keeps them going. And in the end, they will find that home might have been closer than they thought all along.",4.06,52537,best-historical-fiction-books-2020,17857,22686,9907,1685,402,Historical,1408,Fiction,790,Historical,203
Magic Lessons,Alice Hoffman,"In an unforgettable novel that traces a centuries-old curse to its source, beloved author Alice Hoffman unveils the story of Maria Owens, accused of witchcraft in Salem, and matriarch of a line of the amazing Owens women and men featured in Practical Magic and The Rules of Magic.Where does the story of the Owens bloodline begin? With Maria Owens, in the 1600s, when she’s abandoned in a snowy field in rural England as a baby. Under the care of Hannah Owens, Maria learns about the “Nameless Arts.” Hannah recognizes that Maria has a gift and she teaches the girl all she knows. It is here that she learns her first important lesson: Always love someone who will love you back. When Maria is abandoned by the man who has declared his love for her, she follows him to Salem, Massachusetts. Here she invokes the curse that will haunt her family. And it’s here that she learns the rules of magic and the lesson that she will carry with her for the rest of her life. Love is the only thing that matters. Magic Lessons is a celebration of life and love and a showcase of Alice Hoffman’s masterful storytelling.",4.2,25127,best-historical-fiction-books-2020,10745,9980,3435,708,259,Historical,517,Fantasy,516,Fiction,400
The Book of Lost Friends,Lisa Wingate,"A new novel inspired by historical events: a story of three young women on a journey in search of family amidst the destruction of the post-Civil War South, and of a modern-day teacher who rediscovers their story and its connection to her own students' lives.Lisa Wingate brings to life stories from actual ""Lost Friends"" advertisements that appeared in Southern newspapers after the Civil War, as freed slaves desperately searched for loved ones who had been sold off.Louisiana, 1875 In the tumultuous aftermath of Reconstruction, three young women set off as unwilling companions on a perilous quest: Lavinia, the pampered heir to a now-destitute plantation; Juneau Jane, her illegitimate free-born Creole half-sister; and Hannie, Lavinia's former slave. Each carries private wounds and powerful secrets as they head for Texas, following dangerous roads rife with ruthless vigilantes and soldiers still fighting a war lost a decade before. For Lavinia and Juneau Jane, the journey is one of inheritance and financial desperation, but for Hannie, torn from her mother and eight siblings before slavery's end, the pilgrimage westward reignites an agonizing question: Could her long-lost family still be out there? Beyond the swamps lie the seemingly limitless frontiers of Texas and, improbably, hope.Louisiana, 1987 For first-year teacher Benedetta Silva, a subsidized job at a poor rural school seems like the ticket to canceling her hefty student debt--until she lands in a tiny, out-of-step Mississippi River town. Augustine, Louisiana, seems suspicious of new ideas and new people, and Benny can scarcely comprehend the lives of her poverty-stricken students. But amid the gnarled oaks and run-down plantation homes lies the century-old history of three young women, a long-ago journey, and a hidden book that could change everything.",4.18,57402,best-historical-fiction-books-2020,23246,23661,8606,1489,400,Historical,1368,Fiction,472,Historical,148
The Pull of the Stars,Emma Donoghue,"In an Ireland doubly ravaged by war and disease, Nurse Julia Power works at an understaffed hospital in the city center, where expectant mothers who have come down with the terrible new Flu are quarantined together. Into Julia's regimented world step two outsiders—Doctor Kathleen Lynn, a rumoured Rebel on the run from the police, and a young volunteer helper, Bridie Sweeney.In the darkness and intensity of this tiny ward, over three days, these women change each other's lives in unexpected ways. They lose patients to this baffling pandemic, but they also shepherd new life into a fearful world. With tireless tenderness and humanity, carers and mothers alike somehow do their impossible work.In The Pull of the Stars, Emma Donoghue once again finds the light in the darkness in this new classic of hope and survival against all odds.",3.99,44387,best-historical-fiction-books-2020,13072,20350,8834,1693,438,Historical,1777,Fiction,828,Historical,291
Hamnet,Maggie O'Farrell,"A New York Times Notable Book (2020)Best Book of 2020: Guardian, Financial Times, Literary Hub, and NPRA thrilling departure: A short, piercing, deeply moving new novel from the acclaimed author of I Am, I Am, I Am, about the death of Shakespeare's eleven-year-old son Hamnet--a name interchangeable with Hamlet in fifteenth-century Britain--and the years leading up to the production of his great play.England, 1580. A young Latin tutor--penniless, bullied by a violent father--falls in love with an extraordinary, eccentric young woman: a wild creature who walks her family's estate with a falcon on her shoulder and is known throughout the countryside for her unusual gifts as a healer. Agnes understands plants and potions better than she does people, but once she settles with her husband on Henley Street in Stratford she becomes a fiercely protective mother and a steadfast, centrifugal force in the life of her young husband, whose gifts as a writer are just beginning to awaken when his beloved young son succumbs to bubonic plague.A luminous portrait of a marriage, a shattering evocation of a family ravaged by grief and loss, and a hypnotic recreation of the story that inspired one of the greatest literary masterpieces of all time, Hamnet is mesmerizing and seductive, an impossible-to-put-down novel from one of our most gifted writers.",4.31,69944,best-historical-fiction-books-2020,35246,24156,8174,1772,596,Historical,2200,Fiction,1267,Historical,387
The Mirror & the Light,Hilary Mantel,"“If you cannot speak truth at a beheading, when can you speak it?”England, May 1536. Anne Boleyn is dead, decapitated in the space of a heartbeat by a hired French executioner. As her remains are bundled into oblivion, Thomas Cromwell breakfasts with the victors. The blacksmith’s son from Putney emerges from the spring’s bloodbath to continue his climb to power and wealth, while his formidable master, Henry VIII, settles to short-lived happiness with his third queen before Jane dies giving birth to the male heir he most craves.Cromwell is a man with only his wits to rely on; he has no great family to back him, no private army. Despite rebellion at home, traitors plotting abroad and the threat of invasion testing Henry’s regime to the breaking point, Cromwell’s robust imagination sees a new country in the mirror of the future. But can a nation, or a person, shed the past like a skin? Do the dead continually unbury themselves? What will you do, the Spanish ambassador asks Cromwell, when the king turns on you, as sooner or later he turns on everyone close to him?With The Mirror & the Light, Hilary Mantel brings to a triumphant close the trilogy she began with Wolf Hall and Bring Up the Bodies. She traces the final years of Thomas Cromwell, the boy from nowhere who climbs to the heights of power, offering a defining portrait of predator and prey, of a ferocious contest between present and past, between royal will and a common man’s vision: of a modern nation making itself through conflict, passion, and courage.",4.4,24173,best-historical-fiction-books-2020,13671,7447,2342,533,180,Historical,1296,Fiction,724,Historical,204
Where the Lost Wander,Amy Harmon,"In this epic and haunting love story set on the Oregon Trail, a family and their unlikely protector find their way through peril, uncertainty, and loss.
The Overland Trail, 1853: Naomi May never expected to be widowed at twenty. Eager to leave her grief behind, she sets off with her family for a life out West. On the trail, she forms an instant connection with John Lowry, a half-Pawnee man straddling two worlds and a stranger in both.But life in a wagon train is fraught with hardship, fear, and death. Even as John and Naomi are drawn to each other, the trials of the journey and their disparate pasts work to keep them apart. John’s heritage gains them safe passage through hostile territory only to come between them as they seek to build a life together.When a horrific tragedy strikes, decimating Naomi’s family and separating her from John, the promises they made are all they have left. Ripped apart, they can’t turn back, they can’t go on, and they can’t let go. Both will have to make terrible sacrifices to find each other, save each other, and eventually… make peace with who they are.",4.4,33645,best-historical-fiction-books-2020,18481,11327,2885,614,338,Historical,887,Romance,239,Fiction,207
Deacon King Kong,James   McBride,"In September 1969, a fumbling, cranky old church deacon known as Sportcoat shuffles into the courtyard of the Cause Houses housing project in south Brooklyn, pulls a .38 from his pocket, and in front of everybody shoots the project's drug dealer at point-blank range.In Deacon King Kong, McBride brings to vivid life the people affected by the shooting: the victim, the African-American and Latinx residents who witnessed it, the white neighbors, the local cops assigned to investigate, the members of the Five Ends Baptist Church where Sportcoat was deacon, the neighborhood's Italian mobsters, and Sportcoat himself.As the story deepens, it becomes clear that the lives of the characters--caught in the tumultuous swirl of 1960s New York--overlap in unexpected ways. When the truth does emerge, McBride shows us that not all secrets are meant to be hidden, that the best way to grow is to face change without fear, and that the seeds of love lie in hope and compassion.",4.21,36104,best-historical-fiction-books-2020,15533,14294,4929,1034,314,Fiction,1000,Historical,585,Audiobook,130
The Night Watchman,Louise Erdrich,"Based on the extraordinary life of National Book Award-winning author Louise Erdrich’s  grandfather who worked as a night watchman and carried the fight against Native dispossession from rural North Dakota all the way to Washington, D.C., this powerful novel explores themes of love and death with lightness and gravity and unfolds with the elegant prose, sly humor, and depth of feeling of a master craftsman.Thomas Wazhashk is the night watchman at the jewel bearing plant, the first factory located near the Turtle Mountain Reservation in rural North Dakota. He is also a Chippewa Council member who is trying to understand the consequences of a new “emancipation” bill on its way to the floor of the United States Congress. It is 1953 and he and the other council members know the bill isn’t about freedom; Congress is fed up with Indians. The bill is a “termination” that threatens the rights of Native Americans to their land and their very identity. How can the government abandon treaties made in good faith with Native Americans “for as long as the grasses shall grow, and the rivers run”?Since graduating high school, Pixie Paranteau has insisted that everyone call her Patrice. Unlike most of the girls on the reservation, Patrice, the class valedictorian, has no desire to wear herself down with a husband and kids. She makes jewel bearings at the plant, a job that barely pays her enough to support her mother and brother. Patrice’s shameful alcoholic father returns home sporadically to terrorize his wife and children and bully her for money. But Patrice needs every penny to follow her beloved older sister, Vera, who moved to the big city of Minneapolis. Vera may have disappeared; she hasn’t been in touch in months, and is rumored to have had a baby. Determined to find Vera and her child, Patrice makes a fateful trip to Minnesota that introduces her to unexpected forms of exploitation and violence, and endangers her life.Thomas and Patrice live in this impoverished reservation community along with young Chippewa boxer Wood Mountain and his mother Juggie Blue, her niece and Patrice’s best friend Valentine, and Stack Barnes, the white high school math teacher and boxing coach who is hopelessly in love with Patrice.In the Night Watchman, Louise Erdrich creates a fictional world populated with memorable characters who are forced to grapple with the worst and best impulses of human nature. Illuminating the loves and lives, the desires and ambitions of these characters with compassion, wit, and intelligence, The Night Watchman is a majestic work of fiction from this revered cultural treasure.",4.13,21077,best-historical-fiction-books-2020,8122,8650,3367,720,218,Historical,738,Fiction,686,Historical,96
Code Name Hélène,Ariel Lawhon,"Told in interweaving timelines organized around the four code names Nancy used during the war, Code Name Hélène is a spellbinding and moving story of enduring love, remarkable sacrifice and unfaltering resolve that chronicles the true exploits of a woman who deserves to be a household name.It is 1936 and Nancy Wake is an intrepid Australian expat living in Paris who has bluffed her way into a reporting job for Hearst newspaper when she meets the wealthy French industrialist Henri Fiocca. No sooner does Henri sweep Nancy off her feet and convince her to become Mrs. Fiocca than the Germans invade France and she takes yet another name: a code name.As LUCIENNE CARLIER Nancy smuggles people and documents across the border. Her success and her remarkable ability to evade capture earns her the nickname THE WHITE MOUSE from the Gestapo. With a five million franc bounty on her head, Nancy is forced to escape France and leave Henri behind. When she enters training with the Special Operations Executives in Britain, her new comrades are instructed to call her HÉLÈNE. And finally, with mission in hand, Nancy is airdropped back into France as the deadly MADAM ANDRÉ, where she claims her place as one of the most powerful leaders in the French Resistance, armed with a ferocious wit, her signature red lipstick, and the ability to summon weapons straight from the Allied Forces. But no one can protect Nancy if the enemy finds out these four women are one and the same, and the closer to liberation France gets, the more exposed she--and the people she loves--become.",4.42,18233,best-historical-fiction-books-2020,9958,6376,1530,248,121,Historical,945,Fiction,261,War,153
Utopia Avenue,David Mitchell,"The long-awaited new novel from the bestselling, prize-winning author of Cloud Atlas and The Bone Clocks.Utopia Avenue is the strangest British band you’ve never heard of. Emerging from London’s psychedelic scene in 1967 and fronted by folk singer Elf Holloway, guitar demigod Jasper de Zoet, and blues bassist Dean Moss, Utopia Avenue released only two LPs during its brief, blazing journey from the clubs of Soho and drafty ballrooms to Top of the Pops and the cusp of chart success, and on to glory in Amsterdam, prison in Rome, and a fateful American fortnight in the autumn of 1968.David Mitchell’s captivating new novel tells the unexpurgated story of Utopia Avenue; of riots in the streets and revolutions in the head; of drugs, thugs, madness, love, sex, death, art; of the families we choose and the ones we don’t; of fame’s Faustian pact and stardom’s wobbly ladder. Can we change the world in turbulent times, or does the world change us?",4.02,12448,best-historical-fiction-books-2020,4477,4837,2292,649,193,Fiction,456,Historical,266,Music,155
Betty,Tiffany   McDaniel,"A stunning, lyrical novel set in the rolling foothills of the Appalachians in which a young girl discovers stark truths that will haunt her for the rest of her life. ""A girl comes of age against the knife."" So begins the story of Betty Carpenter. Born in a bathtub in 1954 to a Cherokee father and white mother, Betty is the sixth of eight siblings. The world they inhabit is one of poverty and violence--both from outside the family, and also, devastatingly, from within. The lush landscape, rich with birdsong, wild fruit, and blazing stars, becomes a kind of refuge for Betty, but when her family's darkest secrets are brought to light, she has no choice but to reckon with the brutal history hiding in the hills, as well as the heart-wrenching cruelties and incredible characters she encounters in her rural town of Breathed, Ohio. But despite the hardship she faces, Betty is resilient. Her curiosity about the natural world, her fierce love for her sisters, and her father's brilliant stories are kindling for the fire of her own imagination, and in the face of all she bears witness to, Betty discovers an escape: she begins to write. She recounts the horrors of her family's past and present with pen and paper and buries them deep in the dirt--moments that has stung her so deeply, she could not tell them, until now. Inspired by the life of her own mother, Tiffany McDaniel sets out to free the past by telling this heartbreaking yet magical story--a remarkable novel that establishes her as one of the freshest and most important voices in American fiction.",4.4,8271,best-historical-fiction-books-2020,4816,2336,815,231,73,Historical,215,Fiction,187,Historical,52
The Paper Daughters of Chinatown,Heather B. Moore,"Based on true events, The Paper Daughters of Chinatown in a powerful story about a largely unknown chapter in history and the women who emerged as heroes.In the late nineteenth century, San Francisco is a booming city with a dark side, one in which a powerful underground organization—the criminal tong—buys and sells young Chinese women into prostitution and slavery. These “paper daughters,” so called because fake documents gain them entry to America but leave them without legal identity, generally have no recourse. But the Occidental Mission Home for Girls is one bright spot of hope and help.Told in alternating chapters, this rich narrative follows the stories of young Donaldina Cameron who works in the mission home, and Mei Lien, a “paper daughter” who thinks she is coming to America for an arranged marriage but instead is sold into a life of shame and despair.Donaldina, a real-life pioneering advocate for social justice, bravely stands up to corrupt officials and violent gangs, helping to win freedom for thousands of Chinese women. Mei Lien endures heartbreak and betrayal in her search for hope, belonging, and love. Their stories merge in this gripping account of the courage and determination that helped shape a new course of women’s history in America.",4.18,2543,best-historical-fiction-books-2020,1020,1083,345,70,25,Historical,243,Fiction,62,Historical,40
Shuggie Bain,Douglas   Stuart,"Shuggie Bain is the unforgettable story of young Hugh ""Shuggie"" Bain, a sweet and lonely boy who spends his 1980s childhood in run-down public housing in Glasgow, Scotland. Thatcher's policies have put husbands and sons out of work, and the city's notorious drugs epidemic is waiting in the wings. Shuggie's mother Agnes walks a wayward path: she is Shuggie's guiding light but a burden for him and his siblings. She dreams of a house with its own front door while she flicks through the pages of the Freemans catalogue, ordering a little happiness on credit, anything to brighten up her grey life. Married to a philandering taxi-driver husband, Agnes keeps her pride by looking good--her beehive, make-up, and pearly-white false teeth offer a glamourous image of a Glaswegian Elizabeth Taylor. But under the surface, Agnes finds increasing solace in drink, and she drains away the lion's share of each week's benefits--all the family has to live on--on cans of extra-strong lager hidden in handbags and poured into tea mugs. Agnes's older children find their own ways to get a safe distance from their mother, abandoning Shuggie to care for her as she swings between alcoholic binges and sobriety. Shuggie is meanwhile struggling to somehow become the normal boy he desperately longs to be, but everyone has realized that he is ""no right,"" a boy with a secret that all but him can see. Agnes is supportive of her son, but her addiction has the power to eclipse everyone close to her--even her beloved Shuggie.A heartbreaking story of addiction, sexuality, and love, Shuggie Bain is an epic portrayal of a working-class family that is rarely seen in fiction. Recalling the work of Edouard Louis, Alan Hollinghurst, Frank McCourt, and Hanya Yanagihara, it is a blistering debut by a brilliant novelist who has a powerful and important story to tell.",4.37,49698,best-historical-fiction-books-2020,26679,16709,4815,1057,438,Fiction,859,Historical,298,Literary Fiction,167
House of Earth and Blood,Sarah J. Maas,"Bound by blood.Tempted by desire.Unleashed by destiny.Bryce Quinlan had the perfect life—working hard all day and partying all night—until a demon murdered her closest friends, leaving her bereft, wounded, and alone. When the accused is behind bars but the crimes start up again, Bryce finds herself at the heart of the investigation. She’ll do whatever it takes to avenge their deaths.Hunt Athalar is a notorious Fallen angel, now enslaved to the Archangels he once attempted to overthrow. His brutal skills and incredible strength have been set to one purpose—to assassinate his boss’s enemies, no questions asked. But with a demon wreaking havoc in the city, he’s offered an irresistible deal: help Bryce find the murderer, and his freedom will be within reach.As Bryce and Hunt dig deep into Crescent City’s underbelly, they discover a dark power that threatens everything and everyone they hold dear, and they find, in each other, a blazing passion—one that could set them both free, if they’d only let it.With unforgettable characters, sizzling romance, and page-turning suspense, this richly inventive new fantasy series by #1 New York Times bestselling author Sarah J. Maas delves into the heartache of loss, the price of freedom—and the power of love.",4.43,144843,best-fantasy-books-2020,90549,35442,12405,3978,2469,Fantasy,5996,Romance,1333,New Adult,672
The Invisible Life of Addie LaRue,V.E. Schwab,"A Life No One Will Remember. A Story You Will Never Forget.France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world.But everything changes when, after nearly 300 years, Addie stumbles across a young man in a hidden bookstore and he remembers her name.",4.29,272400,best-fantasy-books-2020,139693,86183,34687,8807,3030,Fantasy,8076,Fiction,2875,Historical,2377
The House in the Cerulean Sea,T.J. Klune,"A magical island. A dangerous task. A burning secret.Linus Baker leads a quiet, solitary life. At forty, he lives in a tiny house with a devious cat and his old records. As a Case Worker at the Department in Charge of Magical Youth, he spends his days overseeing the well-being of children in government-sanctioned orphanages.When Linus is unexpectedly summoned by Extremely Upper Management he's given a curious and highly classified assignment: travel to Marsyas Island Orphanage, where six dangerous children reside: a gnome, a sprite, a wyvern, an unidentifiable green blob, a were-Pomeranian, and the Antichrist. Linus must set aside his fears and determine whether or not they’re likely to bring about the end of days.But the children aren’t the only secret the island keeps. Their caretaker is the charming and enigmatic Arthur Parnassus, who will do anything to keep his wards safe. As Arthur and Linus grow closer, long-held secrets are exposed, and Linus must make a choice: destroy a home or watch the world burn.An enchanting story, masterfully told, The House in the Cerulean Sea is about the profound experience of discovering an unlikely family in an unexpected place—and realizing that family is yours.",4.52,107460,best-fantasy-books-2020,69220,27684,8154,1697,705,Fantasy,6673,Fiction,1617,LGBT,1468
